                                                               
Epoch 63: Train Acc 0.9466, Val Acc 0.8000
Epoch 64: Train Acc 0.9569, Val Acc 0.7417
Epoch 65: Train Acc 0.9552, Val Acc 0.7750
Epoch 66: Train Acc 0.9707, Val Acc 0.7750
Epoch 67: Train Acc 0.9534, Val Acc 0.7500
Epoch 68: Train Acc 0.9655, Val Acc 0.7417
Epoch 69: Train Acc 0.9466, Val Acc 0.7833
Epoch 70: Train Acc 0.9586, Val Acc 0.7583
Epoch 71: Train Acc 0.9741, Val Acc 0.7833
Epoch 72: Train Acc 0.9672, Val Acc 0.7750
Epoch 73: Train Acc 0.9483, Val Acc 0.7750
Epoch 74: Train Acc 0.9690, Val Acc 0.8000
Epoch 75: Train Acc 0.9655, Val Acc 0.7833
Epoch 76: Train Acc 0.9621, Val Acc 0.8000
Epoch 77: Train Acc 0.9586, Val Acc 0.7917
Epoch 78: Train Acc 0.9431, Val Acc 0.7583
Epoch 79: Train Acc 0.9638, Val Acc 0.7583
Epoch 80: Train Acc 0.9672, Val Acc 0.7833
Epoch 81: Train Acc 0.9552, Val Acc 0.7583
Epoch 82: Train Acc 0.9724, Val Acc 0.7500
Epoch 83: Train Acc 0.9621, Val Acc 0.7500
Epoch 84: Train Acc 0.9672, Val Acc 0.7583
Epoch 85: Train Acc 0.9552, Val Acc 0.7500
Epoch 86: Train Acc 0.9603, Val Acc 0.7667
Epoch 87: Train Acc 0.9069, Val Acc 0.7250
Epoch 88: Train Acc 0.9379, Val Acc 0.7500
Epoch 89: Train Acc 0.9793, Val Acc 0.7917
Epoch 90: Train Acc 0.9759, Val Acc 0.7583
Epoch 91: Train Acc 0.9672, Val Acc 0.7750
Epoch 92: Train Acc 0.9552, Val Acc 0.7917
Epoch 93: Train Acc 0.9862, Val Acc 0.7833
Epoch 94: Train Acc 0.9724, Val Acc 0.7500
Epoch 95: Train Acc 0.9552, Val Acc 0.7667
Epoch 96: Train Acc 0.9621, Val Acc 0.7667
Epoch 97: Train Acc 0.9741, Val Acc 0.7833
Epoch 98: Train Acc 0.9672, Val Acc 0.7917
Epoch 99: Train Acc 0.9483, Val Acc 0.7667
Epoch 100: Train Acc 0.9672, Val Acc 0.7750
